ID	Day1	Day2	Day3	Day6	Day8	Day12
PF3D7_1335900	5.945507	6.718987	7.301764	7.927802	8.521933	7.40959
PF3D7_1336000	5.057187	5.119628	4.775172	4.793482	4.646981	4.980033
PF3D7_1336200	7.263769	6.695853	6.174924	7.542288	7.276936	8.679162
PF3D7_1336400	4.126213	4.777595	4.64437	4.934589	4.796183	4.706168
PF3D7_1336600	7.48416	8.064838	7.660832	7.873178	8.135706	9.150827
PF3D7_1336700	7.911738	7.630725	7.497331	6.749237	6.577465	6.546373
PF3D7_1336800	7.098526	6.407908	6.227046	6.221098	6.385244	5.904369
PF3D7_1336900	6.491468	6.404448	6.15173	6.12257	5.798569	6.013905
PF3D7_1337000	5.436394	4.942791	5.034881	4.648775	4.884249	5.087422
PF3D7_1337100	7.338471	6.85484	6.669766	6.562834	6.735613	7.818739
PF3D7_1337200	4.998549	4.992495	4.728878	4.829587	4.829587	4.662986
PF3D7_1337300	5.428762	5.142302	4.737487	4.98997	5.245416	5.046381
PF3D7_1337400	5.627062	5.302969	5.40482	5.282651	4.970033	5.01994
PF3D7_1337500	5.036449	5.061973	5.024894	5.055381	4.872161	5.328726
PF3D7_1337700	4.385154	4.89707	4.840772	4.937244	5.080149	5.261324
PF3D7_1337800	4.649658	5.379982	6.319852	5.314302	4.597662	4.788204
PF3D7_1338000	5.946949	6.139489	5.890181	5.846673	5.975022	5.968028
PF3D7_1338100	8.032486	8.199382	7.640601	7.758304	8.088172	7.811472
PF3D7_1338200	8.663731	8.195575	8.015208	7.520196	7.379801	6.555604
PF3D7_1338300	10.991821	10.543143	10.128416	10.010331	10.058831	10.573995
PF3D7_1338400	7.232525	7.743442	7.516476	8.050116	7.865225	8.02698
PF3D7_1338500	4.654667	4.942805	4.686617	4.60686	4.914698	4.621407
PF3D7_1338600	7.228336	7.693403	7.48979	7.426631	7.04859	7.160668
PF3D7_1338700	6.160471	6.38587	5.939101	6.181372	6.34151	6.000842
