ID	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37	T38	T39	T40	T41	T42	T43	T44	T45	T46	T47	T48	T49	T50	T51	T52	T53
PF3D7_0623000	0.0531	-0.0709	-0.1966	-0.2941	-0.4851	-0.5808	-0.6134	-0.656	-0.595	-0.4231	-0.3796	-0.3075	-0.225	-0.2788	-0.2428	-0.2159	-0.2089	-0.1755	-0.0644	-0.0251	0.0465	0.0964	0.1484	0.1811	0.1939	0.2449	0.2415	0.2341	0.23	0.2339	0.1949	0.2829	0.2679	0.216	0.181	0.1715	0.0875	0.1034	0.0874	0.0323	-0.0222	-0.0195	-0.0647	-0.0733	-0.069	-0.0784	-0.1534	-0.2021	-0.2189	-0.2205	-0.2427	-0.2428	-0.3134
PF3D7_0623100	-0.2599	-0.0988	-0.0277	0.0664	0.1109	0.0916	0.0996	0.123	0.0936	0.047	0.057	0.0727	0.0339	0.0731	0.0777	0.1384	0.1621	0.2082	0.179	0.1939	0.1427	0.1242	0.0249	-0.0216	-0.0323	-0.0978	-0.1412	-0.1444	-0.1591	-0.1792	-0.1546	-0.1981	-0.1802	-0.1557	-0.1786	-0.1891	-0.1806	-0.1869	-0.2608	-0.2882	-0.3353	-0.3861	-0.4519	-0.4542	-0.5111	-0.4885	-0.4968	-0.5065	-0.4726	-0.36	-0.3508	-0.2292	-0.1561
PF3D7_0623200	0.0615	0.0917	0.1411	0.1108	0.1486	0.2953	0.3508	0.2876	0.4069	0.559	0.5923	0.7038	0.8337	0.9324	0.9538	0.7235	0.533	0.4197	0.1954	-0.019	-0.0726	-0.1561	-0.1818	-0.1688	-0.1609	-0.1269	-0.1062	-0.1028	-0.127	-0.1205	-0.1258	-0.0372	-0.0137	-0.0175	-0.0313	-0.0352	-0.1076	-0.1134	-0.2084	-0.2623	-0.1682	-0.1653	-0.2307	-0.1705	-0.13	-0.2529	-0.3164	-0.3313	-0.2974	-0.266	-0.1611	0.0012	0.1607
PF3D7_0623300	0.315	0.1493	0.0214	-0.1773	-0.3218	-0.4368	-0.5501	-0.6899	-0.6683	-0.6039	-0.6615	-0.6327	-0.5552	-0.6147	-0.5815	-0.5368	-0.5092	-0.4476	-0.3238	-0.2796	-0.2164	-0.1555	-0.1048	-0.0188	0.0824	0.1169	0.1738	0.3079	0.3309	0.334	0.4039	0.4605	0.3955	0.3466	0.3334	0.3389	0.2779	0.3233	0.4007	0.4096	0.4298	0.4465	0.4059	0.3081	0.2465	0.1964	0.1233	0.1041	0.0983	0.0466	0.0529	0.0418	0.0642
PF3D7_0623400	0.0156	0.0168	0.0056	0.0012	-0.032	-0.0898	-0.1171	-0.1409	-0.1603	-0.1226	-0.1391	-0.0841	-0.0719	-0.0971	-0.1047	-0.0963	-0.1717	-0.1723	-0.1483	-0.0756	-0.0177	0.0319	0.0289	0.0438	0.0109	0.0107	0.0122	0.0525	0.0338	0.0264	0.0066	0.0469	0.0335	0.05	0.1022	0.1274	0.1017	0.1088	0.0812	0.0207	9e-04	0.0436	0.0421	0.0766	0.0919	0.1086	0.0494	0.0502	0.0513	0.0324	0.0715	0.1097	0.1904
PF3D7_0623600	-0.098	-0.0943	-0.0314	0.0314	0.0928	0.1388	0.1892	0.2216	0.2728	0.3104	0.3268	0.341	0.2862	0.2398	0.149	0.0976	0.0894	0.0718	0.017	0.0679	0.0574	0.0339	-0.0079	-0.0334	-0.0562	-0.0584	-0.1435	-0.1555	-0.1923	-0.2066	-0.2401	-0.2023	-0.1691	-0.13	-0.1384	-0.1518	-0.1897	-0.1908	-0.2117	-0.2087	-0.2001	-0.1767	-0.2291	-0.2746	-0.2866	-0.3026	-0.3271	-0.3514	-0.3411	-0.3375	-0.3685	-0.3666	-0.3926
PF3D7_0623700	0.0011	-0.0328	-0.0903	-0.0836	-0.115	-0.1285	-0.0922	-0.0559	-0.0804	-0.1081	-0.1067	-0.0719	-0.1155	-0.025	0.0333	0.1017	0.1426	0.1999	0.1519	0.1695	0.1429	0.1196	0.1105	0.1138	0.0978	0.1067	0.1362	0.1065	0.0949	0.0962	0.0762	0.0188	0.0279	0.0304	9e-04	-0.0122	-0.0046	-0.0059	-0.0243	0.0508	0.0962	0.0842	0.0786	0.1062	0.0322	-0.0113	-0.0046	0.0046	-0.0105	-0.0295	-0.0122	-0.0113	0.0091
PF3D7_0623800	0.4236	0.5751	0.6805	0.7691	0.6743	0.7008	0.6723	0.6196	0.6538	0.6776	0.6956	0.7195	0.6402	0.5062	0.3962	0.3012	0.258	0.2539	0.1552	0.057	-0.1332	-0.411	-0.5922	-0.6891	-0.7624	-0.892	-0.9506	-1.0281	-1.1719	-1.2339	-1.2388	-1.2025	-1.2072	-1.1104	-1.1099	-1.1165	-1.1081	-1.0348	-1.0318	-1.0422	-0.9972	-0.968	-0.8772	-0.7395	-0.5366	-0.3173	-0.1957	-0.2166	0.149	0.3815	0.4918	0.7865	0.5467
PF3D7_0623900	0.0332	0.002	0.0912	0.1137	0.0346	0.0042	-0.0096	-0.1797	-0.283	-0.2797	-0.3458	-0.4803	-0.4066	-0.3863	-0.2634	-0.1891	-0.0168	0.0651	0.1846	0.2011	0.2248	0.2024	0.0735	0.0464	0.0287	0.0214	-0.0017	0.1009	0.0845	0.1302	0.1047	0.0957	0.0268	-0.0161	-0.1005	-0.0794	-0.1009	-0.1362	-0.0868	-0.1115	-0.1184	-0.0972	-0.0856	-0.1539	-0.1421	-0.1741	-0.193	-0.1992	-0.1307	-0.0639	0.1072	0.317	0.5392
PF3D7_0624000	0.1435	-0.0775	-0.1773	-0.3322	-0.5397	-0.5796	-0.5724	-0.6302	-0.5164	-0.3006	-0.2274	-0.1423	-0.0364	-0.0501	0.0641	0.0241	-0.0095	-0.0062	0.0865	0.0552	0.1075	0.1091	0.0912	0.1438	0.1611	0.2095	0.225	0.2649	0.1824	0.1842	0.143	0.2622	0.2253	0.158	0.128	0.0787	-0.0966	-0.0924	-0.1176	-0.4141	-0.4735	-0.4444	-0.4674	-0.5545	-0.3838	-0.4269	-0.4843	-0.5433	-0.4557	-0.426	-0.3737	-0.3872	-0.5009
